Masses	Intensities
12.741	1.4627e1
12.778	1.5435e1
12.815	1.5720e1
12.852	1.5898e1
12.889	1.7001e1
12.926	1.6500e1
12.963	1.7629e1
13.000	1.9218e1
13.037	1.9102e1
13.074	2.0090e1
13.111	2.1317e1
13.148	2.1739e1
13.185	2.2498e1
13.222	2.2549e1
13.259	2.2404e1
13.296	2.3179e1
13.333	2.3309e1
13.370	2.5868e1
13.407	2.6701e1
13.444	3.0714e1
13.481	3.1271e1
13.519	3.2855e1
13.556	3.5911e1
13.593	3.7657e1
13.630	4.2680e1
13.667	4.7566e1
13.704	5.6886e1
13.741	6.9195e1
13.778	8.8400e1
13.815	1.1301e2
13.852	1.3738e2
13.889	1.6191e2
13.926	1.8027e2
13.963	1.9674e2
14.000	1.9389e2
14.037	1.8629e2
14.074	1.6708e2
14.111	1.4920e2
14.148	1.1313e2
14.185	8.0086e1
14.222	6.3390e1
14.259	5.7459e1
14.296	5.3652e1
14.333	5.4425e1
14.370	5.2035e1
14.407	5.1894e1
14.444	5.3718e1
14.481	5.3463e1
14.519	5.4083e1
14.556	5.7546e1
14.593	5.8820e1
14.630	6.0024e1
14.667	6.3403e1
14.704	6.5697e1
14.741	6.6256e1
14.778	7.0499e1
14.815	7.1614e1
14.852	7.8078e1
14.889	7.9197e1
14.926	8.5569e1
14.963	8.9417e1
15.000	9.1961e1
15.037	9.6874e1
15.074	9.9792e1
15.111	1.0575e2
15.148	1.1019e2
15.185	1.1542e2
15.222	1.1996e2
15.259	1.2773e2
15.296	1.3548e2
15.333	1.3798e2
15.370	1.4797e2
15.407	1.5508e2
15.444	1.6668e2
15.481	1.7958e2
15.519	1.9013e2
15.556	2.0777e2
15.593	2.2381e2
15.630	2.4775e2
15.667	2.6805e2
15.704	2.9399e2
15.741	3.2943e2
15.778	3.7605e2
15.815	4.1675e2
15.852	4.6557e2
15.889	4.9078e2
15.926	5.1088e2
15.963	5.0637e2
16.000	5.0423e2
16.037	4.9406e2
16.074	4.5915e2
16.111	3.9192e2
16.148	3.1273e2
16.185	2.5729e2
16.222	2.2533e2
16.259	2.0583e2
16.296	1.9699e2
16.333	1.9176e2
16.370	1.8784e2
16.407	1.8568e2
16.444	1.9018e2
16.481	1.9932e2
16.519	2.0497e2
16.556	2.0785e2
16.593	2.2315e2
16.630	2.3536e2
16.667	2.5025e2
16.704	2.7125e2
16.741	2.9480e2
16.778	3.4395e2
16.815	3.8718e2
16.852	4.2253e2
16.889	4.5797e2
16.926	4.9363e2
16.963	5.2113e2
17.000	5.5960e2
17.037	5.7666e2
17.074	5.7350e2
17.111	5.6063e2
17.148	5.3267e2
17.185	4.9043e2
17.222	4.7344e2
17.259	4.8145e2
17.296	4.8664e2
17.333	5.1065e2
17.370	5.4081e2
17.407	5.7484e2
17.444	6.1079e2
17.481	6.5881e2
17.519	7.0598e2
17.556	7.4798e2
17.593	8.0393e2
17.630	8.6248e2
17.667	9.3785e2
17.704	1.0243e3
17.741	1.1500e3
17.778	1.3308e3
17.815	1.5477e3
17.852	1.7624e3
17.889	1.9510e3
17.926	2.1116e3
17.963	2.2833e3
18.000	2.4735e3
18.037	2.6863e3
18.074	2.7990e3
18.111	2.8188e3
18.148	2.8072e3
18.185	2.7740e3
18.222	2.8037e3
18.259	3.0038e3
18.296	3.2895e3
18.333	3.7014e3
18.370	4.1583e3
18.407	4.6304e3
18.444	5.1719e3
18.481	5.7319e3
18.519	6.3802e3
18.556	7.0982e3
18.593	7.9336e3
18.630	8.8112e3
18.667	9.3356e3
18.704	9.5973e3
18.741	9.7440e3
18.778	9.8115e3
18.815	9.8425e3
18.852	9.8619e3
18.889	9.8732e3
18.926	9.8798e3
18.963	9.8834e3
19.000	9.8854e3
19.037	9.8832e3
19.074	9.8793e3
19.111	9.8711e3
19.148	9.8331e3
19.185	9.6446e3
19.222	8.4381e3
19.259	5.7910e3
19.296	4.0919e3
19.333	3.0423e3
19.370	2.3202e3
19.407	1.8509e3
19.444	1.4890e3
19.481	1.2082e3
19.519	1.0036e3
19.556	8.3186e2
19.593	7.0620e2
19.630	6.0605e2
19.667	5.1570e2
19.704	4.4151e2
19.741	3.7860e2
19.778	3.3200e2
19.815	2.8557e2
19.852	2.4482e2
19.889	2.1342e2
19.926	1.8764e2
19.963	1.6562e2
20.000	1.4984e2
20.037	1.3153e2
20.074	1.1795e2
20.111	1.0244e2
20.148	8.5265e1
20.185	6.7616e1
20.222	5.5635e1
20.259	4.6860e1
20.296	4.0670e1
20.333	3.5708e1
20.370	3.2519e1
20.407	2.8932e1
20.444	2.7166e1
20.481	2.4178e1
20.519	2.1319e1
20.556	1.8990e1
20.593	1.8376e1
20.630	1.6722e1
20.667	1.5486e1
20.704	1.3851e1
20.741	1.2490e1
20.778	1.1937e1
20.815	1.1832e1
20.852	1.0079e1
20.889	9.8891e0
20.926	9.7806e0
20.963	8.7100e0
21.000	7.7194e0
21.037	7.3586e0
21.074	7.0065e0
21.111	6.4361e0
21.148	5.8699e0
21.185	5.7285e0
21.222	5.8122e0
21.259	5.4246e0
21.296	5.0141e0
21.333	4.7492e0
21.370	4.4959e0
21.407	4.4896e0
21.444	4.1974e0
21.481	3.7349e0
21.519	3.7992e0
21.556	3.4334e0
21.593	3.3286e0
21.630	3.1951e0
21.667	3.0941e0
21.704	3.0111e0
21.741	2.9891e0
21.778	3.0001e0
21.815	2.8432e0
21.852	2.8861e0
21.889	3.0360e0
21.926	3.1419e0
21.963	2.9920e0
22.000	3.2876e0
22.037	2.9489e0
22.074	2.9199e0
22.111	2.9334e0
22.148	2.6583e0
22.185	2.3714e0
22.222	2.1013e0
